p 
b 	  	
t̪ 
d̪ 	
t 
d 	
t̠ 
d̠ 	
ʈ 
ɖ 	
c 
ɟ 	
k 
g 	
q 
ɢ 	  	
ʔ
m̥ 
m 	
ɱ̊ 
ɱ 	  	
n̥ 
n 	  	
ɳ̊ 
ɳ 	
ɲ̊ 
ɲ 	
ŋ̊ 
ŋ 	
ɴ̥ 
ɴ
