ID	IPA	TYPE	PLACE	MANNER	MISCA	MISCB
641	ʕ	consonant	pharyngeal	fricative	voiced	plain
642	ħ	consonant	pharyngeal	fricative	voiceless	plain
643	ʕʼ	consonant	pharyngeal	fricative	voiced	glottalized
644	ʕʼʷ	consonant	pharyngeal	fricative	voiced	glottalized_labialized
645	ħʷ	consonant	pharyngeal	fricative	voiceless	labialized
646	N̩	consonant	placeless	nasal	voiced	syllabic
647	N?	consonant	placeless	nasal	voiced	plain
648	tʃˤ	consonant	postalveolar	affricate	voiceless	pharyngealized
649	ᵐtʃ	consonant	postalveolar	affricate	voiceless	labial_prenasalized
650	tʃʷʼ	consonant	postalveolar	affricate	voiceless	glottalized_labialized
651	tʃ	consonant	postalveolar	affricate	voiceless	plain
652	tʃʼ	consonant	postalveolar	affricate	voiceless	glottalized
653	tʃ̀	consonant	postalveolar	affricate	voiceless	tense
654	tʃʰʷ	consonant	postalveolar	affricate	voiceless	aspirated_labialized
655	dʒ	consonant	postalveolar	affricate	voiced	plain
656	ⁿtʃʰʷ	consonant	postalveolar	affricate	voiceless	aspirated_labialized_prenasalized
657	ᵐdʒ	consonant	postalveolar	affricate	voiced	labial_prenasalized
658	tʃʷ	consonant	postalveolar	affricate	voiceless	labialized
659	tʃɦ	consonant	postalveolar	affricate	voiceless	voiced_aspirated
660	ⁿtʃ	consonant	postalveolar	affricate	voiceless	prenasalized
661	tʃʰ	consonant	postalveolar	affricate	voiceless	aspirated
662	dːʒ	consonant	postalveolar	affricate	voiced_long	plain
663	dʒʲ	consonant	postalveolar	affricate	voiced	palatalized
664	tʃʲ	consonant	postalveolar	affricate	voiceless	palatalized
665	ⁿtʃʷ	consonant	postalveolar	affricate	voiceless	labialized_prenasalized
666	dʒʷ	consonant	postalveolar	affricate	voiced	labialized
667	dʒʰ	consonant	postalveolar	affricate	voiced	aspirated
668	ⁿtʃʼ	consonant	postalveolar	affricate	voiceless	glottalized_prenasalized
669	ⁿdʒ	consonant	postalveolar	affricate	voiced	prenasalized
670	ʒː	consonant	postalveolar	fricative	voiced_long	plain
671	ʃʷ	consonant	postalveolar	fricative	voiceless	labialized
672	ʒʰ	consonant	postalveolar	fricative	voiced	aspirated
673	ʒʷ	consonant	postalveolar	fricative	voiced	labialized
674	ᵐʃ	consonant	postalveolar	fricative	voiceless	labial_prenasalized
675	ⁿʒ	consonant	postalveolar	fricative	voiced	prenasalized
676	ʃʲ	consonant	postalveolar	fricative	voiceless	palatalized
677	ɲ̥ʃ	consonant	postalveolar	fricative	voiceless	voiceless_prenasalized
678	ʃː	consonant	postalveolar	fricative	voiceless_long	plain
679	ʃʼ	consonant	postalveolar	fricative	voiceless	glottalized
680	ʃ̀	consonant	postalveolar	fricative	voiceless	tense
681	ʒ̤	consonant	postalveolar	fricative	breathy	plain
682	ʒʲ	consonant	postalveolar	fricative	voiced	palatalized
683	ʃ	consonant	postalveolar	fricative	voiceless	plain
684	ⁿʃ	consonant	postalveolar	fricative	voiceless	prenasalized
685	ʒ	consonant	postalveolar	fricative	voiced	plain
686	ʃtʃ	consonant	postalveolar	fricative_to_affricate	voiceless	plain
687	ɗʒ	consonant	postalveolar	implosive_affricate	voiced	plain
688	dʒ͡ɣʷ	consonant	postalveolar_to_velar	affricate_to_fricative	voiced	labialized
689	tʃ͡k	consonant	postalveolar_to_velar	affricate_to_stop	voiceless	plain
690	tʃ͡kʷ	consonant	postalveolar_to_velar	affricate_to_stop	voiceless	labialized
691	dʒ͡ɡ	consonant	postalveolar_to_velar	affricate_to_stop	voiced	plain
692	ʒ͡ɣw	consonant	postalveolar_to_velar	fricative	voiced	labialized
693	ʃ͡kʷ	consonant	postalveolar_to_velar	fricative_to_stop	voiceless	labialized
694	s̞	consonant	retracted_alveolar	fricative	voiceless	plain
695	n̞s̞	consonant	retracted_alveolar	fricative	voiceless	prenasalized
696	n̞	consonant	retracted_alveolar	nasal	voiced	plain
697	ʈʂʰ	consonant	retroflex	affricate	voiceless	aspirated
698	ɖʐ	consonant	retroflex	affricate	voiced	plain
699	ʈʂ	consonant	retroflex	affricate	voiceless	plain
700	ʈʂʼ	consonant	retroflex	affricate	voiceless	glottalized
701	ɻ	consonant	retroflex	approximant	voiced	plain
702	ɽʰ	consonant	retroflex	flap	voiced	aspirated
703	ɽ	consonant	retroflex	flap	voiced	plain
704	ʂʰ	consonant	retroflex	fricative	voiceless	aspirated
705	ʂ	consonant	retroflex	fricative	voiceless	plain
706	ʐ	consonant	retroflex	fricative	voiced	plain
707	ɖ˞	consonant	retroflex	implosive	voiceless	plain
708	ɭ	consonant	retroflex	lateral_approximant	voiced	plain
709	ɭː	consonant	retroflex	lateral_approximant	voiced_long	plain
710	ɳʷ	consonant	retroflex	nasal	voiced	labialized
711	ɳ	consonant	retroflex	nasal	voiced	plain
712	ɳː	consonant	retroflex	nasal	voiced_long	plain
713	ɖː	consonant	retroflex	stop	voiced_long	plain
714	ɖ̤	consonant	retroflex	stop	breathy	plain
715	ʈʲʰ	consonant	retroflex	stop	voiceless	aspirated_palatalized
716	ɖʰ	consonant	retroflex	stop	voiced	aspirated
717	ʈ	consonant	retroflex	stop	voiceless	plain
718	ⁿɖ	consonant	retroflex	stop	voiced	prenasalized
719	ʈⁿ	consonant	retroflex	stop	voiceless	postnasalized
720	ɖɽ	consonant	retroflex	stop	voiced	rhotic
721	ɖ	consonant	retroflex	stop	voiced	plain
722	ɳɖɽ	consonant	retroflex	stop	voiced	prenasalized_rhotic
723	ʈɽ	consonant	retroflex	stop	voiceless	rhotic
724	ʈʲ	consonant	retroflex	stop	voiceless	palatalized
725	ʈʰ	consonant	retroflex	stop	voiceless	aspirated
726	ʈː	consonant	retroflex	stop	voiceless_long	plain
727	ɖʲ	consonant	retroflex	stop	voiced	palatalized
728	qχ	consonant	uvular	affricate	voiceless	plain
729	qɰ	consonant	uvular	approximant	voiced	plain
730	qʼˤʷ	consonant	uvular	ejective	voiceless	pharyngealized_labialized
731	qʼʲ	consonant	uvular	ejective	voiceless	palatalized
732	qʼ	consonant	uvular	ejective	voiceless	plain
733	qʼʷ	consonant	uvular	ejective	voiceless	labialized
734	qʼˤ	consonant	uvular	ejective	voiceless	pharyngealized
735	ʁː	consonant	uvular	fricative	voiced_long	plain
736	ʁˤ	consonant	uvular	fricative	voiced	pharyngealized
737	χʷ	consonant	uvular	fricative	voiceless	labialized
738	χˤʷ	consonant	uvular	fricative	voiceless	pharyngealized_labialized
739	ʁ	consonant	uvular	fricative	voiced	plain
740	χʲ	consonant	uvular	fricative	voiceless	palatalized
741	ʁʷ	consonant	uvular	fricative	voiced	labialized
742	χ̀	consonant	uvular	fricative	voiceless	tense
743	χ̀ʷ	consonant	uvular	fricative	voiceless	labialized_tense
744	ʁʲ	consonant	uvular	fricative	voiced	palatalized
745	ʁˤʷ	consonant	uvular	fricative	voiced	pharyngealized_labialized
746	χː	consonant	uvular	fricative	voiceless_long	plain
747	χˤ	consonant	uvular	fricative	voiceless	pharyngealized
748	χ	consonant	uvular	fricative	voiceless	plain
749	ʛ	consonant	uvular	implosive	voiced	plain
750	ɴʼ	consonant	uvular	nasal	voiced	glottalized
751	ɴ	consonant	uvular	nasal	voiced	syllabic
752	ɴ̩	consonant	uvular	nasal	voiced	plain
753	qˤ	consonant	uvular	stop	voiceless	pharyngealized
754	ɢˤ	consonant	uvular	stop	voiced	pharyngealized
755	qʲ	consonant	uvular	stop	voiceless	palatalized
756	qː	consonant	uvular	stop	voiceless_long	plain
757	q	consonant	uvular	stop	voiceless	plain
758	qʷː	consonant	uvular	stop	voiceless_long	labialized
759	qʰ	consonant	uvular	stop	voiceless	aspirated
760	qʷ	consonant	uvular	stop	voiceless	labialized
761	qʰʷ	consonant	uvular	stop	voiceless	aspirated_labialized
762	qˤʼ	consonant	uvular	stop	voiceless	pharyngealized_glottalized
763	ɢ	consonant	uvular	stop	voiced	plain
764	qˤʷ	consonant	uvular	stop	voiceless	pharyngealized_labialized
765	qʷʼ	consonant	uvular	stop	voiceless	glottalized_labialized
766	ʀʼ	consonant	uvular	trill	voiced	glottalized
767	ʀ	consonant	uvular	trill	voiced	plain
768	kxʰ	consonant	velar	affricate	voiceless	aspirated
769	ŋkxʼ	consonant	velar	affricate	voiceless	glottalized_prenasalized
770	kxʼ	consonant	velar	affricate	voiceless	glottalized
771	ɡkx’	consonant	velar	affricate	voiced_to_voiceless	glottalized
772	ɰ	consonant	velar	approximant	voiced	plain
773	ɰʼ	consonant	velar	approximant	voiced	glottalized
774	kʼʷ	consonant	velar	ejective	voiceless	labialized
775	kʼʲ	consonant	velar	ejective	voiceless	palatalized
776	kʼ	consonant	velar	ejective	voiceless	plain
777	xʰ	consonant	velar	fricative	voiceless	aspirated
778	x	consonant	velar	fricative	voiceless	plain
779	ɣʰ	consonant	velar	fricative	voiced	aspirated
780	ɣ	consonant	velar	fricative	voiced	plain
781	ɣː	consonant	velar	fricative	voiced_long	plain
782	ɣʲ	consonant	velar	fricative	voiced	palatalized
783	xʼ	consonant	velar	fricative	voiceless	glottalized
784	x̀ʷ	consonant	velar	fricative	voiceless	labialized_tense
785	ɣʼ	consonant	velar	fricative	voiced	glottalized
786	xː	consonant	velar	fricative	voiceless_long	plain
787	xʷ	consonant	velar	fricative	voiceless	labialized
788	ɣʷ	consonant	velar	fricative	voiced	labialized
789	xʲ	consonant	velar	fricative	voiceless	palatalized
790	x̀	consonant	velar	fricative	voiceless	tense
791	ɣ̀	consonant	velar	fricative	voiced	tense
792	ɠ	consonant	velar	implosive	voiced	plain
793	ɠ̥	consonant	velar	implosive	voiceless	plain
794	ɠʷ	consonant	velar	implosive	voiced	labialized
795	ɠʲ	consonant	velar	implosive	voiced	palatalized
796	ʟ	consonant	velar	lateral_approximant	voiced	plain
797	ŋʰ	consonant	velar	nasal	voiced	aspirated
798	ŋ̍	consonant	velar	nasal	voiced	syllabic
799	ŋ̊ʰ	consonant	velar	nasal	voiceless	aspirated
800	ŋʼ	consonant	velar	nasal	voiced	glottalized
801	ŋ	consonant	velar	nasal	voiced	plain
802	ŋ̊	consonant	velar	nasal	voiceless	plain
803	ŋʷ	consonant	velar	nasal	voiced	labialized
804	ŋː	consonant	velar	nasal	voiced_long	plain
805	kʰ	consonant	velar	stop	voiceless	aspirated_prenasalized
806	ⁿk	consonant	velar	stop	voiced	alveolar_prenasalized
807	ⁿɡʷ	consonant	velar	stop	voiced	labialized_prenasalized
808	kʰʲ	consonant	velar	stop	voiceless	aspirated_palatalized
809	ɡˤ	consonant	velar	stop	voiced	pharyngealized
810	kˤ	consonant	velar	stop	voiceless	pharyngealized
811	k̀	consonant	velar	stop	voiceless	tense
812	ɡ̥ʰ	consonant	velar	stop	devoiced	aspirated
813	k̀ʷ	consonant	velar	stop	voiceless	labialized_tense
814	ɡʷ	consonant	velar	stop	voiced	labialized
815	ɡ	consonant	velar	stop	voiced	prenasalized
816	kʷʼ	consonant	velar	stop	voiceless	glottalized_labialized
817	ʔk	consonant	velar	stop	voiceless	preglottalized
818	ɡʲ	consonant	velar	stop	voiced	palatalized
819	ɡʷ	consonant	velar	stop	voiced	labialized_prenasalized
820	kʰ	consonant	velar	stop	voiceless	aspirated
821	kʷː	consonant	velar	stop	voiceless_long	labialized
822	kʰʷ	consonant	velar	stop	voiceless	aspirated_labialized
823	klʼ	consonant	velar	stop	voiceless	glottalized_lateral
824	ɡ̥	consonant	velar	stop	devoiced	plain
825	k	consonant	velar	stop	voiceless	prenasalized
826	ɡː	consonant	velar	stop	voiced_long	plain
827	ɡʷː	consonant	velar	stop	voiced_long	labialized
828	kʷɦ	consonant	velar	stop	voiceless	labialized_voiced_aspirated
829	k	consonant	velar	stop	voiceless	postnasalized
830	ɡ̂	consonant	velar	stop	voiced	lenis
831	ɡ	consonant	velar	stop	voiced	plain
832	kː	consonant	velar	stop	voiceless_long	plain
833	ᵐɡ	consonant	velar	stop	voiced	labial_prenasalized
834	kʷ	consonant	velar	stop	voiceless	labialized
835	ɡ̤	consonant	velar	stop	breathy	plain
836	ɡʰ	consonant	velar	stop	voiced	aspirated
837	kʲ	consonant	velar	stop	voiceless	palatalized
838	k	consonant	velar	stop	voiceless	plain
839	k̂	consonant	velar	stop	voiceless	lenis
840	ŋɡ̥	consonant	velar	stop	devoiced	prenasalized
841	kf	consonant	velar_to_labiodental	affricate	voiced_to_voiceless	plain
842	ʉ̟ː	vowel	advanced_central_rounded	high	plain	long
843	a+	vowel	advanced_central_unrounded	low	plain	plain
844	ə̟	vowel	advanced_central_unrounded	mid	plain	plain
845	əː	vowel	advanced_central_unrounded	mid	plain	long
846	i̟	vowel	advanced_front_unrounded	high	plain	plain
847	ũː	vowel	back_rounded	high	nasalized	long
848	ṳʔ	vowel	back_rounded	high	glottalized	breathy
849	ṳː	vowel	back_rounded	high	plain	breathy_long
850	uˤʔ	vowel	back_rounded	high	pharyngealized_glottalized	plain
851	ʮ	vowel	back_rounded	high	with_frication	plain
852	ṵː	vowel	back_rounded	high	plain	creaky_long
853	ṳ̃ˤ	vowel	back_rounded	high	pharyngealized_nasalized	breathy
854	uʔ	vowel	back_rounded	high	glottalized	plain
855	ũʔ	vowel	back_rounded	high	glottalized_nasalized	plain
856	uʔu	vowel	back_rounded	high	interrupted	plain
857	uˤ	vowel	back_rounded	high	pharyngealized	plain
858	ṵ	vowel	back_rounded	high	plain	creaky
859	uːː	vowel	back_rounded	high	plain	extra_long
860	uː	vowel	back_rounded	high	plain	long
861	ṳ	vowel	back_rounded	high	plain	breathy
862	ṳˤ	vowel	back_rounded	high	pharyngealized	breathy
863	ũʔũ	vowel	back_rounded	high	interrupted_nasalized	plain
864	u̞	vowel	back_rounded	high	RTR	plain
865	u̥	vowel	back_rounded	high	plain	voiceless
866	ũ	vowel	back_rounded	high	nasalized	plain
867	ũˤ	vowel	back_rounded	high	pharyngealized_nasalized	plain
868	u	vowel	back_rounded	high	plain	plain
869	u̯o	diphtong	back_rounded	high_glide_to_higher_mid	plain	plain
870	ṳo̤	diphtong	back_rounded	high_to_higher_mid	plain	breathy
871	uo	diphtong	back_rounded	high_to_higher_mid	plain	plain
872	uɔ	diphtong	back_rounded	high_to_lower_mid	plain	plain
873	õː	vowel	back_rounded	higher_mid	nasalized	long
874	o̥	vowel	back_rounded	higher_mid	plain	voiceless
875	o̤	vowel	back_rounded	higher_mid	plain	breathy
876	õʔ	vowel	back_rounded	higher_mid	interrupted_nasalized	plain
877	o̰	vowel	back_rounded	higher_mid	plain	creaky
878	o̞	vowel	back_rounded	higher_mid	RTR	plain
879	oˤ	vowel	back_rounded	higher_mid	pharyngealized	plain
880	oː	vowel	back_rounded	higher_mid	plain	long
881	o̤ʔ	vowel	back_rounded	higher_mid	glottalized	breathy
882	omf	vowel	back_rounded	higher_mid	muffled	plain
883	õ	vowel	back_rounded	higher_mid	nasalized	plain
884	õⁿ	vowel	back_rounded	higher_mid	postnasalized	plain
885	õ̤ˤ	vowel	back_rounded	higher_mid	pharyngealized_nasalized	breathy
886	ŏ	vowel	back_rounded	higher_mid	plain	extra_short
887	o	vowel	back_rounded	higher_mid	plain	plain
888	oːː	vowel	back_rounded	higher_mid	plain	extra_long
889	o̤ˤ	vowel	back_rounded	higher_mid	pharyngealized	breathy
890	õ̰	vowel	back_rounded	higher_mid	nasalized	creaky
891	õ̤	vowel	back_rounded	higher_mid	nasalized	breathy
892	õ̤ʔ	vowel	back_rounded	higher_mid	glottalized_nasalized	breathy
893	oʔ	vowel	back_rounded	higher_mid	glottalized	plain
894	oʔo	vowel	back_rounded	higher_mid	interrupted	plain
895	õˤ	vowel	back_rounded	higher_mid	pharyngealized_nasalized	plain
896	o̤ː	vowel	back_rounded	higher_mid	plain	breathy_long
897	o̯u	diphtong	back_rounded	higher_mid_glide_to_high	plain	plain
898	ou	diphtong	back_rounded	higher_mid_to_high	plain	plain
899	oʊ	diphtong	back_rounded	higher_mid_to_lower_high	plain	plain
900	ɒ	vowel	back_rounded	low	plain	plain
901	ɒː	vowel	back_rounded	low	plain	long
902	ɒ̃	vowel	back_rounded	low	nasalized	plain
903	ʊ̥	vowel	back_rounded	lower_high	plain	voiceless
904	ʊ	vowel	back_rounded	lower_high	plain	plain
905	ʊ̃	vowel	back_rounded	lower_high	nasalized	plain
906	ʊ̃ː	vowel	back_rounded	lower_high	nasalized	long
907	ʊ̘	vowel	back_rounded	lower_high	ATR	plain
908	ṳ̃	vowel	back_rounded	lower_high	nasalized	breathy
909	ʊː	vowel	back_rounded	lower_high	plain	long
910	ʊɔ	diphtong	back_rounded	lower_high_to_lower_mid	plain	plain
911	ɔ̤ː	vowel	back_rounded	lower_mid	plain	long_breathy
912	ɔ̤	vowel	back_rounded	lower_mid	plain	breathy
913	ɔʔ	vowel	back_rounded	lower_mid	glottalized	plain
914	ɔː	vowel	back_rounded	lower_mid	plain	long
915	ɔ̃	vowel	back_rounded	lower_mid	nasalized	plain
916	ɔ	vowel	back_rounded	lower_mid	plain	plain
917	ɔ̃ʔ	vowel	back_rounded	lower_mid	glottalized_nasalized	plain
918	ɔ̥	vowel	back_rounded	lower_mid	plain	voiceless
919	ɔ̘	vowel	back_rounded	lower_mid	ATR	plain
920	ɔ̰	vowel	back_rounded	lower_mid	plain	creaky
921	ɔ̃ː	vowel	back_rounded	lower_mid	nasalized	long
922	ɔu	diphtong	back_rounded	lower_mid_to_high	plain	plain
923	u̝ː	vowel	back_rounded	raised_high	plain	long
924	u̝	vowel	back_rounded	raised_high	plain	plain
925	õ̝	vowel	back_rounded	raised_higher_mid	nasalized	plain
926	o̝ː	vowel	back_rounded	raised_higher_mid	plain	long
927	o̝	vowel	back_rounded	raised_higher_mid	plain	plain
928	ɔ̝ː	vowel	back_rounded	raised_lower_mid	plain	long
929	ɔ̝	vowel	back_rounded	raised_lower_mid	plain	plain
930	ua	diphtong	back_rounded_to_central_unrounded	high_to_low	plain	plain
931	uə	diphtong	back_rounded_to_central_unrounded	high_to_mid	plain	plain
932	o̯a	diphtong	back_rounded_to_central_unrounded	higher_mid_glide_to_low	plain	plain
933	oə	diphtong	back_rounded_to_central_unrounded	higher_mid_to_mid	plain	plain
934	əo	diphtong	back_rounded_to_central_unrounded	mid_to_higher_mid	plain	plain
935	oi	diphtong	back_rounded_to_front	higher_mid_to_high	plain	plain
936	ui	diphtong	back_rounded_to_front_unrounded	high	plain	plain
937	ʊʏ̯	diphtong	back_rounded_to_front_unrounded	lower_high_to_high_glide	plain	plain
938	ɔi	diphtong	back_rounded_to_front_unrounded	lower_mid_to_high	plain	plain
939	ɔi̯	diphtong	back_rounded_to_front_unrounded	lower_mid_to_high_glide	plain	plain
940	uw	diphtong	back_rounded_to_labiovelar	high_to_glide	plain	plain
941	oj	diphtong	back_rounded_to_palatal	higher_mid_to_glide	plain	plain
942	ɔj	diphtong	back_rounded_to_palatal	lower_mid_to_glide	plain	plain
943	ɯ̃	vowel	back_unrounded	high	nasalized	plain
944	ɯ	vowel	back_unrounded	high	plain	plain
945	ɿ	vowel	back_unrounded	high	with_frication	plain
946	ɯː	vowel	back_unrounded	high	plain	long
947	ɤ	vowel	back_unrounded	higher_mid	plain	plain
948	ɤ̃	vowel	back_unrounded	higher_mid	nasalized	plain
949	ɤː	vowel	back_unrounded	higher_mid	plain	long
950	ɑ̃ː	vowel	back_unrounded	low	nasalized	long
951	ɑ̃	vowel	back_unrounded	low	nasalized	plain
952	ɑ	vowel	back_unrounded	low	plain	plain
953	ɑ̤ː	vowel	back_unrounded	low	plain	breathy_long
954	ɑː	vowel	back_unrounded	low	plain	long
955	ʌ̆	vowel	back_unrounded	lower_mid	plain	extra_short
956	ʌː	vowel	back_unrounded	lower_mid	plain	long
957	ʌ̃	vowel	back_unrounded	lower_mid	nasalized	plain
958	ʌ̃ː	vowel	back_unrounded	lower_mid	nasalized	long
959	ʌ̤	vowel	back_unrounded	lower_mid	plain	breathy
960	ʌ	vowel	back_unrounded	lower_mid	plain	plain
961	ʌ̤ː	vowel	back_unrounded	lower_mid	plain	breathy_long
962	ʌ̝	vowel	back_unrounded	raised_lower_mid	plain	plain
963	ɑu	diphtong	back_unrounded_to_back_rounded	low_to_high	plain	plain
964	ɯə	diphtong	back_unrounded_to_central	high_to_mid	plain	plain
965	uj	diphtong	back_unrounded_to_palatal	high_to_glide	plain	plain
966	ʉː	vowel	central_rounded	high	plain	plain
967	ʯ	vowel	central_rounded	high	with_frication	plain
968	ʉ	vowel	central_rounded	high	plain	plain
969	ʉ̃ⁿ	vowel	central_rounded	high	postnasalized	plain
970	ɵ	vowel	central_rounded	higher_mid	plain	plain
971	ɵː	vowel	central_rounded	higher_mid	plain	long
972	ɞ	vowel	central_rounded	lower_mid	plain	plain
973	ʚ	vowel	central_rounded	lower_mid	plain	plain
974	ɨ̤ː	vowel	central_unrounded	high	plain	breathy_long
975	ɨ˞	vowel	central_unrounded	high	retroflex	plain
976	ɨː	vowel	central_unrounded	high	plain	long
977	ʅ	vowel	central_unrounded	high	with_frication	plain
978	ɨ̃	vowel	central_unrounded	high	nasalized	plain
979	ɨ̃ʔɨ̃	vowel	central_unrounded	high	interrupted_nasalized	plain
980	ɨ̃ː	vowel	central_unrounded	high	nasalized	long
981	ɨʔɨ	vowel	central_unrounded	high	interrupted	plain
982	ɨ̤	vowel	central_unrounded	high	plain	breathy
983	ɨ	vowel	central_unrounded	high	plain	plain
984	ɨːː	vowel	central_unrounded	high	plain	extra_long
985	ɐ̯	vowel	central_unrounded	higher_low	plain	consonantal
986	ɐ	vowel	central_unrounded	higher_low	plain	plain
987	ɐ̃	vowel	central_unrounded	higher_low	nasalized	plain
988	ɐː	vowel	central_unrounded	higher_low	plain	long
989	ɘ	vowel	central_unrounded	higher_mid	plain	plain
990	ãʔ	vowel	central_unrounded	low	glottalized_nasalized	plain
991	aʔa	vowel	central_unrounded	low	interrupted	plain
992	ãː	vowel	central_unrounded	low	nasalized	long
993	ă	vowel	central_unrounded	low	plain	extra_short
994	aʔ	vowel	central_unrounded	low	glottalized	plain
995	a̰	vowel	central_unrounded	low	plain	creaky
996	ãˤ	vowel	central_unrounded	low	pharyngealized_nasalized	plain
997	a	vowel	central_unrounded	low	plain	plain
998	a̤	vowel	central_unrounded	low	plain	breathy
999	ãʔã	vowel	central_unrounded	low	interrupted_nasalized	plain
1000	a̰ː	vowel	central_unrounded	low	plain	creaky_long
1001	a̤ː	vowel	central_unrounded	low	plain	breathy_long
1002	ã̤ʔ	vowel	central_unrounded	low	glottalized_nasalized	breathy
1003	ḁ	vowel	central_unrounded	low	plain	voiceless
1004	aː	vowel	central_unrounded	low	plain	long
1005	a̤ˤ	vowel	central_unrounded	low	pharyngealized	breathy
1006	ã̤	vowel	central_unrounded	low	nasalized	breathy
1007	aˤʔ	vowel	central_unrounded	low	pharyngealized_glottalized	plain
1008	aːː	vowel	central_unrounded	low	plain	extra_long
1009	a̠	vowel	central_unrounded	low	ATR	plain
1010	ãⁿ	vowel	central_unrounded	low	postnasalized	plain
1011	ã̤ˤ	vowel	central_unrounded	low	pharyngealized_nasalized	breathy
1012	aˤ	vowel	central_unrounded	low	pharyngealized	plain
1013	a̤ʔ	vowel	central_unrounded	low	glottalized	breathy
1014	ã	vowel	central_unrounded	low	nasalized	plain
1015	ɨ̞	vowel	central_unrounded	lower_high	plain	plain
1016	ɜ	vowel	central_unrounded	lower_mid	plain	plain
1017	ɜː	vowel	central_unrounded	lower_mid	plain	long
1018	a̞	vowel	central_unrounded	lowered_low	plain	plain
1019	ə̠	vowel	central_unrounded	mid	retracted	plain
1020	ə̃	vowel	central_unrounded	mid	nasalized	plain
1021	ə̃ː	vowel	central_unrounded	mid	nasalized	long
1022	ə	vowel	central_unrounded	mid	plain	plain
1023	əˤ	vowel	central_unrounded	mid	pharyngealized	plain
1024	ə̃˞	vowel	central_unrounded	mid	retroflex_nasalized	plain
1025	ə̤	vowel	central_unrounded	mid	plain	breathy
1026	ə˞	vowel	central_unrounded	mid	retroflex	plain
1027	ə̤ː	vowel	central_unrounded	mid	plain	breathy_long
1028	ə̆	vowel	central_unrounded	mid	plain	extra_short
1029	a̝	vowel	central_unrounded	raised_low	plain	plain
1030	a̪ː	vowel	central_unrounded	raised_low	plain	long
1031	a̝ː	vowel	central_unrounded	raised_low	plain	long
1032	ə̝	vowel	central_unrounded	raised_mid	plain	plain
1033	au	diphtong	central_unrounded_to_back_rounded	low_to_high	plain	plain
1034	ao	diphtong	central_unrounded_to_back_rounded	low_to_higher_mid	plain	plain
1035	aʊ	diphtong	central_unrounded_to_back_rounded	low_to_lower_high	plain	plain
1036	əu	diphtong	central_unrounded_to_back_rounded	mid_to_high	plain	plain
1037	ai	diphtong	central_unrounded_to_front	low_to_high	plain	plain
1038	ai̯	diphtong	central_unrounded_to_front	low_to_high_glide	plain	plain
1039	aɪ	diphtong	central_unrounded_to_front	low_to_lower_high	plain	plain
1040	ɛi̯	diphtong	central_unrounded_to_front	lower_mid_to_high_glide	plain	plain
1041	ə̯i	diphtong	central_unrounded_to_front	mid_glide_to_high	plain	plain
1042	əi	diphtong	central_unrounded_to_front	mid_to_high	plain	plain
1043	əe	diphtong	central_unrounded_to_front	mid_to_higher_mid	plain	plain
1044	aj	diphtong	central_unrounded_to_palatal	low_to_glide	plain	plain
1045	aʉ	diphtong	central_unrounded_to_rounded	low_to_high	plain	plain
1046	ỹ	vowel	front_rounded	high	nasalized	plain
1047	y	vowel	front_rounded	high	plain	plain
1048	ỹː	vowel	front_rounded	high	nasalized	long
1049	yː	vowel	front_rounded	high	plain	long
1050	øː	vowel	front_rounded	higher_mid	plain	long
1051	ø̆	vowel	front_rounded	higher_mid	plain	extra_short
1052	ø	vowel	front_rounded	higher_mid	plain	plain
1053	ɶ	vowel	front_rounded	low	plain	plain
1054	ʏ	vowel	front_rounded	lower_high	plain	plain
1055	ʏː	vowel	front_rounded	lower_high	plain	long
1056	œ̃	vowel	front_rounded	lower_mid	nasalized	plain
1057	œː	vowel	front_rounded	lower_mid	plain	long
1058	œ̃ː	vowel	front_rounded	lower_mid	nasalized	long
1059	œ	vowel	front_rounded	lower_mid	plain	plain
1060	œu	diphtong	front_rounded_to_back	lower_mid_to_high	plain	plain
1061	øə	diphtong	front_rounded_to_central_unrounded	higher_mid_to_mid	plain	plain
1062	yi	diphtong	front_rounded_to_unrounded	high	plain	plain
1063	œi	diphtong	front_rounded_to_unrounded	lower_mid_to_high	plain	plain
1064	i̺	vowel	front_unrounded	high	apical	plain
1065	iːː	vowel	front_unrounded	high	plain	extra_long
1066	ĩː	vowel	front_unrounded	high	nasalized	long
1067	iˤ	vowel	front_unrounded	high	pharyngealized	plain
1068	iː	vowel	front_unrounded	high	plain	long
1069	i̤ː	vowel	front_unrounded	high	plain	breathy_long
1070	i̞	vowel	front_unrounded	high	RTR	plain
1071	ĩʔĩ	vowel	front_unrounded	high	interrupted_nasalized	plain
1072	i̤	vowel	front_unrounded	high	nasalized	breathy
1073	i̥	vowel	front_unrounded	high	plain	voiceless
1074	iʔi	vowel	front_unrounded	high	interrupted	plain
1075	iʔ	vowel	front_unrounded	high	glottalized	plain
1076	i	vowel	front_unrounded	high	plain	plain
1077	ḭː	vowel	front_unrounded	high	plain	creaky_long
1078	ĩ	vowel	front_unrounded	high	nasalized	plain
1079	ḭ	vowel	front_unrounded	high	plain	creaky
1080	ĩʔ	vowel	front_unrounded	high	glottalized_nasalized	plain
1081	ĩ̤	vowel	front_unrounded	high	plain	breathy
1082	i̯e	diphtong	front_unrounded	high_glide_to_higher_mid	plain	plain
1083	ie	diphtong	front_unrounded	high_to_higher_mid	plain	plain
1084	i̤e̤	diphtong	front_unrounded	high_to_higher_mid	plain	breathy
1085	iɛ	diphtong	front_unrounded	high_to_lower_mid	plain	plain
